State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,
United States,"6,365","6,670","7,013","7,334","7,628","8,024","8,265","8,653","9,199","9,828","10,674","11,441","12,108","12,805","13,429","14,262","15,014","15,918",,,,
Alabama,"5,295","5,429","5,737","6,002","6,354","6,354","6,742","7,349","7,654","7,931","8,962","9,819","9,625","10,699","11,035","12,183","13,052","14,416",,,,
Alaska,"5,978","6,153","6,665","6,892","7,131","7,131","8,333","8,390","9,258","9,457","10,132","9,936","10,620","11,364","11,719","12,970","13,281","14,053",,,,
Arizona,"5,463","5,825","5,998","6,314","6,669","6,669","7,362","7,874","8,222","8,797","10,149","10,863","11,480","11,978","12,289","14,098","15,710","17,083",,,,
Arkansas,"5,296","4,912","5,064","5,402","5,890","5,890","6,416","6,797","7,302","7,791","8,337","8,734","9,192","9,779","10,598","11,708","11,841","12,580",,,,
California,"7,524","7,924","8,213","8,304","8,491","8,491","9,183","9,590","10,320","10,849","12,288","13,356","13,685","14,358","14,893","15,679","17,652","18,933",,,,
Colorado,"6,190","6,524","7,037","7,321","7,552","7,552","7,994","8,362","8,808","9,179","9,763","10,243","11,569","12,060","13,314","14,250","15,056","16,208",,,,
Connecticut,"7,915","8,491","8,753","9,256","9,652","9,652","10,136","10,521","11,058","11,805","12,790","13,824","14,658","15,457","16,263","17,358","18,331","19,400",,,,
Delaware,"7,790","8,118","8,489","8,886","9,165","9,165","9,876","10,283","10,889","11,523","12,502","13,353","14,326","15,201","16,165","17,199","18,383","19,541",,,,
District of Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Florida,"5,861","6,201","6,254","6,559","6,890","6,890","7,474","7,947","8,361","8,762","8,956","9,335","10,141","10,455","10,709","11,487","11,659","12,774",,,,
Georgia,"5,063","5,382","5,691","6,508","6,924","6,924","7,295","7,463","7,915","8,749","9,052","9,439","10,062","10,399","10,984","11,532","12,552","14,019",,,,
Hawaii,"1,452",NA,NA,NA,NA,NA,"8,056","8,272","7,987","8,242","8,747","9,131","9,042","11,050","12,202","13,358","14,182","15,133",,,,
