State,Year,Tuition,,,,,,,,
Alabama,2004,8962,,,,,,,,
Alaska,2004,10132,,,,,,,,
Arizona,2004,10149,,,,,,,,
Arkansas,2004,8337,,,,,,,,
California,2004,12288,,,,,,,,
Colorado,2004,9763,,,,,,,,
Connecticut,2004,12790,,,,,,,,
Delaware,2004,12502,,,,,,,,
Florida,2004,8956,,,,,,,,
Georgia,2004,9052,,,,,,,,
Hawaii,2004,8747,,,,,,,,
Idaho,2004,8082,,,,,,,,
Illinois,2004,11795,,,,,,,,
Indiana,2004,11619,,,,,,,,
Iowa,2004,10876,,,,,,,,
Kansas,2004,8587,,,,,,,,
Kentucky,2004,8515,,,,,,,,
Louisiana,2004,7460,,,,,,,,
Maine,2004,10994,,,,,,,,
Maryland,2004,13407,,,,,,,,
Massachusetts,2004,12245,,,,,,,,
Michigan,2004,12187,,,,,,,,
Minnesota,2004,10826,,,,,,,,
Mississippi,2004,8535,,,,,,,,
Missouri,2004,10355,,,,,,,,
Montana,2004,9347,,,,,,,,
Nebraska,2004,9611,,,,,,,,
Nevada,2004,10310,,,,,,,,
New Hampshire,2004,13843,,,,,,,,
New Jersey,2004,15088,,,,,,,,
New Mexico,2004,8255,,,,,,,,
New York,2004,12004,,,,,,,,
North Carolina,2004,8780,,,,,,,,
North Dakota,2004,8035,,,,,,,,
Ohio,2004,13346,,,,,,,,
Oklahoma,2004,7907,,,,,,,,
Oregon,2004,11632,,,,,,,,
Pennsylvania,2004,13734,,,,,,,,
Rhode Island,2004,12767,,,,,,,,
South Carolina,2004,12668,,,,,,,,
South Dakota,2004,8406,,,,,,,,
Tennessee,2004,8934,,,,,,,,
Texas,2004,9180,,,,,,,,
Utah,2004,7878,,,,,,,,
Vermont,2004,14769,,,,,,,,
Virginia,2004,10903,,,,,,,,
Washington,2004,11335,,,,,,,,
West Virginia,2004,8764,,,,,,,,
Wisconsin,2004,9061,,,,,,,,
Wyoming,2004,8485,,,,,,,,
Alabama,2005,9819,,,,,,,,
Alaska,2005,9936,,,,,,,,
Arizona,2005,10863,,,,,,,,
Arkansas,2005,8734,,,,,,,,
California,2005,13356,,,,,,,,
Colorado,2005,10243,,,,,,,,
Connecticut,2005,13824,,,,,,,,
Delaware,2005,13353,,,,,,,,
Florida,2005,9335,,,,,,,,
Georgia,2005,9439,,,,,,,,
Hawaii,2005,9131,,,,,,,,
Idaho,2005,9066,,,,,,,,
Illinois,2005,12803,,,,,,,,
Indiana,2005,12240,,,,,,,,
Iowa,2005,11541,,,,,,,,
Kansas,2005,9397,,,,,,,,
Kentucky,2005,9400,,,,,,,,
Louisiana,2005,7973,,,,,,,,
Maine,2005,11826,,,,,,,,
Maryland,2005,14108,,,,,,,,
Massachusetts,2005,13687,,,,,,,,
Michigan,2005,12658,,,,,,,,
Minnesota,2005,11958,,,,,,,,
Mississippi,2005,9019,,,,,,,,
Missouri,2005,11356,,,,,,,,
Montana,2005,9867,,,,,,,,
Nebraska,2005,10704,,,,,,,,
Nevada,2005,10464,,,,,,,,
New Hampshire,2005,14651,,,,,,,,
New Jersey,2005,16349,,,,,,,,
New Mexico,2005,8675,,,,,,,,
New York,2005,12441,,,,,,,,
North Carolina,2005,9450,,,,,,,,
North Dakota,2005,9011,,,,,,,,
Ohio,2005,15256,,,,,,,,
Oklahoma,2005,8451,,,,,,,,
Oregon,2005,12177,,,,,,,,
Pennsylvania,2005,14771,,,,,,,,
Rhode Island,2005,13541,,,,,,,,
South Carolina,2005,12165,,,,,,,,
South Dakota,2005,8944,,,,,,,,
Tennessee,2005,9445,,,,,,,,
Texas,2005,10233,,,,,,,,
Utah,2005,8348,,,,,,,,
Vermont,2005,15658,,,,,,,,
Virginia,2005,11616,,,,,,,,
Washington,2005,11902,,,,,,,,
West Virginia,2005,9450,,,,,,,,
Wisconsin,2005,9872,,,,,,,,
Wyoming,2005,8514,,,,,,,,
Alabama,2006,9625,,,,,,,,
Alaska,2006,10620,,,,,,,,
Arizona,2006,11480,,,,,,,,
Arkansas,2006,9192,,,,,,,,
California,2006,13685,,,,,,,,
Colorado,2006,11569,,,,,,,,
Connecticut,2006,14658,,,,,,,,
Delaware,2006,14326,,,,,,,,
Florida,2006,10141,,,,,,,,
Georgia,2006,10062,,,,,,,,
Hawaii,2006,9042,,,,,,,,
Idaho,2006,8982,,,,,,,,
Illinois,2006,13976,,,,,,,,
Indiana,2006,12388,,,,,,,,
Iowa,2006,12329,,,,,,,,
Kansas,2006,9980,,,,,,,,
Kentucky,2006,10663,,,,,,,,
Louisiana,2006,8506,,,,,,,,
Maine,2006,12568,,,,,,,,
Maryland,2006,14793,,,,,,,,
Massachusetts,2006,14651,,,,,,,,
Michigan,2006,13693,,,,,,,,
Minnesota,2006,12777,,,,,,,,
Mississippi,2006,9461,,,,,,,,
Missouri,2006,11861,,,,,,,,
Montana,2006,10613,,,,,,,,
Nebraska,2006,11286,,,,,,,,
Nevada,2006,10865,,,,,,,,
New Hampshire,2006,15479,,,,,,,,
New Jersey,2006,17708,,,,,,,,
New Mexico,2006,9579,,,,,,,,
New York,2006,13275,,,,,,,,
North Carolina,2006,9675,,,,,,,,
North Dakota,2006,9829,,,,,,,,
Ohio,2006,16032,,,,,,,,
Oklahoma,2006,9404,,,,,,,,
Oregon,2006,12720,,,,,,,,
Pennsylvania,2006,15464,,,,,,,,
Rhode Island,2006,14315,,,,,,,,
South Carolina,2006,13145,,,,,,,,
South Dakota,2006,9493,,,,,,,,
Tennessee,2006,9956,,,,,,,,
Texas,2006,10973,,,,,,,,
Utah,2006,8745,,,,,,,,
Vermont,2006,16571,,,,,,,,
Virginia,2006,12279,,,,,,,,
Washington,2006,12384,,,,,,,,
West Virginia,2006,9992,,,,,,,,
Wisconsin,2006,10560,,,,,,,,
Wyoming,2006,8946,,,,,,,,
Alabama,2007,10699,,,,,,,,
Alaska,2007,11364,,,,,,,,
Arizona,2007,11978,,,,,,,,
Arkansas,2007,9779,,,,,,,,
California,2007,14358,,,,,,,,
Colorado,2007,12060,,,,,,,,
Connecticut,2007,15457,,,,,,,,
Delaware,2007,15201,,,,,,,,
Florida,2007,10455,,,,,,,,
Georgia,2007,10399,,,,,,,,
Hawaii,2007,11050,,,,,,,,
Idaho,2007,9529,,,,,,,,
Illinois,2007,15373,,,,,,,,
Indiana,2007,13143,,,,,,,,
Iowa,2007,12578,,,,,,,,
Kansas,2007,10696,,,,,,,,
Kentucky,2007,11885,,,,,,,,
Louisiana,2007,9077,,,,,,,,
Maine,2007,12865,,,,,,,,
Maryland,2007,15253,,,,,,,,
Massachusetts,2007,15199,,,,,,,,
Michigan,2007,14519,,,,,,,,
Minnesota,2007,13719,,,,,,,,
Mississippi,2007,10040,,,,,,,,
Missouri,2007,12588,,,,,,,,
Montana,2007,11292,,,,,,,,
Nebraska,2007,11138,,,,,,,,
Nevada,2007,11604,,,,,,,,
New Hampshire,2007,16582,,,,,,,,
New Jersey,2007,18721,,,,,,,,
New Mexico,2007,9963,,,,,,,,
New York,2007,13683,,,,,,,,
North Carolina,2007,10467,,,,,,,,
North Dakota,2007,10626,,,,,,,,
Ohio,2007,16919,,,,,,,,
Oklahoma,2007,9825,,,,,,,,
Oregon,2007,13198,,,,,,,,
Pennsylvania,2007,16263,,,,,,,,
Rhode Island,2007,14999,,,,,,,,
South Carolina,2007,14205,,,,,,,,
South Dakota,2007,10018,,,,,,,,
Tennessee,2007,10528,,,,,,,,
Texas,2007,11827,,,,,,,,
Utah,2007,9044,,,,,,,,
Vermont,2007,17280,,,,,,,,
Virginia,2007,13134,,,,,,,,
Washington,2007,13150,,,,,,,,
West Virginia,2007,10552,,,,,,,,
Wisconsin,2007,11235,,,,,,,,
Wyoming,2007,9627,,,,,,,,
Alabama,2008,11035,,,,,,,,
Alaska,2008,11719,,,,,,,,
Arizona,2008,12289,,,,,,,,
Arkansas,2008,10598,,,,,,,,
California,2008,14893,,,,,,,,
Colorado,2008,13314,,,,,,,,
Connecticut,2008,16263,,,,,,,,
Delaware,2008,16165,,,,,,,,
Florida,2008,10709,,,,,,,,
Georgia,2008,10984,,,,,,,,
Hawaii,2008,12202,,,,,,,,
Idaho,2008,9871,,,,,,,,
Illinois,2008,16795,,,,,,,,
Indiana,2008,14096,,,,,,,,
Iowa,2008,13191,,,,,,,,
Kansas,2008,11338,,,,,,,,
Kentucky,2008,12641,,,,,,,,
Louisiana,2008,9479,,,,,,,,
Maine,2008,14791,,,,,,,,
Maryland,2008,15644,,,,,,,,
Massachusetts,2008,16159,,,,,,,,
Michigan,2008,16003,,,,,,,,
Minnesota,2008,14188,,,,,,,,
